"date" "rgdp" "unemp" "prices" "wages" "m1"
"1" "1959-01-01" 2973.8 "5.6" 17.186 254 139.7
"2" "1959-04-01" 3046.1 "5.0" 17.21 260.6 141.2
"3" "1959-07-01" 3040.2 "5.5" 17.275 260.9 141
"4" "1959-10-01" 3052.2 "5.3" 17.342 263.9 139.9
"5" "1960-01-01" 3120.2 "5.4" 17.414 270.7 139.8
"6" "1960-04-01" 3108.4 "5.4" 17.459 273.4 139.6
"7" "1960-07-01" 3116.1 "5.5" 17.522 274 141.2
"8" "1960-10-01" 3078.4 "6.6" 17.576 273.3 140.7
"9" "1961-01-01" 3099.3 "6.9" 17.615 273.8 141.9
"10" "1961-04-01" 3156.9 "6.9" 17.657 277.6 142.9
"11" "1961-07-01" 3209.6 "6.7" 17.704 282.3 143.8
"12" "1961-10-01" 3274.6 "6.0" 17.762 288.4 145.2
"13" "1962-01-01" 3333.6 "5.6" 17.854 293.3 146
"14" "1962-04-01" 3369.5 "5.5" 17.883 298.7 146.6
"15" "1962-07-01" 3401.6 "5.6" 17.92 301.2 146.3
"16" "1962-10-01" 3414.8 "5.5" 17.955 304.2 147.8
"17" "1963-01-01" 3452.8 "5.7" 18.034 308 149.2
"18" "1963-04-01" 3497.8 "5.6" 18.064 312.4 150.4
"19" "1963-07-01" 3566.1 "5.5" 18.086 316.8 152
"20" "1963-10-01" 3591.5 "5.5" 18.233 322.2 153.3
"21" "1964-01-01" 3669.2 "5.4" 18.291 328.2 154.5
"22" "1964-04-01" 3712.9 "5.2" 18.335 334.8 155.6
"23" "1964-07-01" 3763.3 "5.1" 18.41 341.4 158.7
"24" "1964-10-01" 3776.6 "5.0" 18.493 346.7 160.3
"25" "1965-01-01" 3869.8 "4.7" 18.586 352.8 161.5
"26" "1965-04-01" 3922.7 "4.6" 18.67 358.9 162.2
"27" "1965-07-01" 4002.4 "4.3" 18.744 366.2 164.8
"28" "1965-10-01" 4096.7 "4.0" 18.871 377.1 167.8
"29" "1966-01-01" 4197.9 "3.8" 18.993 385.8 170.5
"30" "1966-04-01" 4215.1 "3.8" 19.149 395.9 171.6
"31" "1966-07-01" 4245.2 "3.7" 19.335 406.1 172
"32" "1966-10-01" 4281.6 "3.8" 19.499 413.5 172
"33" "1967-01-01" 4320.9 "3.8" 19.58 418.8 174.8
"34" "1967-04-01" 4324.7 "3.9" 19.679 423.6 177
"35" "1967-07-01" 4362 "3.8" 19.867 432 180.7
"36" "1967-10-01" 4397.1 "3.8" 20.086 441.6 183.3
"37" "1968-01-01" 4486.4 "3.7" 20.309 454.2 185.5
"38" "1968-04-01" 4562.2 "3.7" 20.523 465.9 189.4
"39" "1968-07-01" 4595 "3.4" 20.726 478.3 192.7
"40" "1968-10-01" 4615.4 "3.4" 21.019 489.4 197.4
"41" "1969-01-01" 4687.1 "3.4" 21.237 499.1 200
"42" "1969-04-01" 4702.1 "3.5" 21.509 511.4 201.3
"43" "1969-07-01" 4731.5 "3.7" 21.811 526.4 202.1
"44" "1969-10-01" 4711 "3.5" 22.092 536.5 203.9
"45" "1970-01-01" 4702.8 "4.4" 22.402 545.1 205.7
"46" "1970-04-01" 4711.1 "4.9" 22.714 549.1 207.6
"47" "1970-07-01" 4752.8 "5.4" 22.901 555.7 211.8
"48" "1970-10-01" 4703.9 "6.1" 23.203 556.4 214.4
"49" "1971-01-01" 4829.9 "6.0" 23.558 570.5 218.8
"50" "1971-04-01" 4857.4 "5.9" 23.868 580.4 223.5
