date         prices
1947-01-01   12.578
1947-04-01   12.757
1947-07-01   12.970
1947-10-01   13.289
1948-01-01   13.392
1948-04-01   13.510
1948-07-01   13.760
1948-10-01   13.803
1949-01-01   13.730
1949-04-01   13.593
1949-07-01   13.522
1949-10-01   13.531
1950-01-01   13.503
1950-04-01   13.551
1950-07-01   13.846
1950-10-01   14.103
1951-01-01   14.610
1951-04-01   14.706
1951-07-01   14.716
1951-10-01   14.884
1952-01-01   14.877
1952-04-01   14.896
1952-07-01   15.062
1952-10-01   15.105
1953-01-01   15.110
1953-04-01   15.140
1953-07-01   15.203
1953-10-01   15.233
1954-01-01   15.280
1954-04-01   15.296
1954-07-01   15.315
1954-10-01   15.358
1955-01-01   15.432
1955-04-01   15.496
1955-07-01   15.605
1955-10-01   15.759
1956-01-01   15.917
1956-04-01   16.012
1956-07-01   16.212
1956-10-01   16.279
1957-01-01   16.501
1957-04-01   16.617
1957-07-01   16.717
1957-10-01   16.727
1958-01-01   16.908
1958-04-01   16.956
1958-07-01   17.059
1958-10-01   17.139
1959-01-01   17.186
1959-04-01   17.210
1959-07-01   17.275
1959-10-01   17.342
1960-01-01   17.414
1960-04-01   17.459
1960-07-01   17.522
1960-10-01   17.576
1961-01-01   17.615
1961-04-01   17.657
1961-07-01   17.704
1961-10-01   17.762
1962-01-01   17.854
1962-04-01   17.883
1962-07-01   17.920
1962-10-01   17.955
1963-01-01   18.034
1963-04-01   18.064
1963-07-01   18.086
1963-10-01   18.233
1964-01-01   18.291
1964-04-01   18.335
1964-07-01   18.410
1964-10-01   18.493
1965-01-01   18.586
1965-04-01   18.670
1965-07-01   18.744
1965-10-01   18.871
1966-01-01   18.993
1966-04-01   19.149
1966-07-01   19.335
1966-10-01   19.499
1967-01-01   19.580
1967-04-01   19.679
1967-07-01   19.867
1967-10-01   20.086
1968-01-01   20.309
1968-04-01   20.523
1968-07-01   20.726
1968-10-01   21.019
1969-01-01   21.237
1969-04-01   21.509
1969-07-01   21.811
1969-10-01   22.092
1970-01-01   22.402
1970-04-01   22.714
1970-07-01   22.901
1970-10-01   23.203
1971-01-01   23.558
1971-04-01   23.868
1971-07-01   24.111
1971-10-01   24.312
1972-01-01   24.691
1972-04-01   24.842
1972-07-01   25.075
1972-10-01   25.394
1973-01-01   25.689
1973-04-01   26.080
1973-07-01   26.578
1973-10-01   27.107
1974-01-01   27.622
