date           rgdp
1947-01-01   1932.6
1947-04-01   1930.4
1947-07-01   1928.4
1947-10-01   1958.8
1948-01-01   1987.6
1948-04-01   2019.9
1948-07-01   2031.2
1948-10-01   2033.3
1949-01-01   2005.6
1949-04-01   1998.8
1949-07-01   2020.8
1949-10-01   2002.7
1950-01-01   2082.5
1950-04-01   2145.5
1950-07-01   2228.2
1950-10-01   2271.2
1951-01-01   2302.3
1951-04-01   2342.3
1951-07-01   2390.5
1951-10-01   2395.8
1952-01-01   2421.1
1952-04-01   2426.2
1952-07-01   2443.7
1952-10-01   2523.9
1953-01-01   2570.9
1953-04-01   2591.0
1953-07-01   2576.4
1953-10-01   2537.3
1954-01-01   2525.6
1954-04-01   2528.3
1954-07-01   2556.9
1954-10-01   2606.8
1955-01-01   2681.2
1955-04-01   2724.8
1955-07-01   2761.5
1955-10-01   2778.1
1956-01-01   2767.4
1956-04-01   2790.2
1956-07-01   2787.9
1956-10-01   2833.5
1957-01-01   2851.8
1957-04-01   2845.5
1957-07-01   2873.2
1957-10-01   2843.7
1958-01-01   2770.0
1958-04-01   2788.3
1958-07-01   2852.7
1958-10-01   2919.5
1959-01-01   2973.8
1959-04-01   3046.1
1959-07-01   3040.2
1959-10-01   3052.2
1960-01-01   3120.2
1960-04-01   3108.4
1960-07-01   3116.1
1960-10-01   3078.4
1961-01-01   3099.3
1961-04-01   3156.9
1961-07-01   3209.6
1961-10-01   3274.6
1962-01-01   3333.6
1962-04-01   3369.5
1962-07-01   3401.6
1962-10-01   3414.8
1963-01-01   3452.8
1963-04-01   3497.8
1963-07-01   3566.1
1963-10-01   3591.5
1964-01-01   3669.2
1964-04-01   3712.9
1964-07-01   3763.3
1964-10-01   3776.6
1965-01-01   3869.8
1965-04-01   3922.7
1965-07-01   4002.4
1965-10-01   4096.7
1966-01-01   4197.9
1966-04-01   4215.1
1966-07-01   4245.2
1966-10-01   4281.6
1967-01-01   4320.9
1967-04-01   4324.7
1967-07-01   4362.0
1967-10-01   4397.1
1968-01-01   4486.4
1968-04-01   4562.2
1968-07-01   4595.0
1968-10-01   4615.4
1969-01-01   4687.1
1969-04-01   4702.1
1969-07-01   4731.5
1969-10-01   4711.0
1970-01-01   4702.8
1970-04-01   4711.1
1970-07-01   4752.8
1970-10-01   4703.9
1971-01-01   4829.9
1971-04-01   4857.4
1971-07-01   4895.3
1971-10-01   4909.5
1972-01-01   4997.0
1972-04-01   5112.7
1972-07-01   5159.8
1972-10-01   5245.5
1973-01-01   5374.7
1973-04-01   5435.6
1973-07-01   5406.1
1973-10-01   5456.5
1974-01-01   5411.2
1974-04-01   5425.4
1974-07-01   5372.8
1974-10-01   5351.4
1975-01-01   5286.7
1975-04-01   5327.4
1975-07-01   5415.5
1975-10-01   5488.5
1976-01-01   5612.4
1976-04-01   5654.8
1976-07-01   5683.6
1976-10-01   5726.2
1977-01-01   5792.9
1977-04-01   5906.6
1977-07-01   6011.1
1977-10-01   6011.7
1978-01-01   6032.6
1978-04-01   6267.2
1978-07-01   6328.5
1978-10-01   6413.3
1979-01-01   6426.1
1979-04-01   6433.9
1979-07-01   6480.1
1979-10-01   6496.8
1980-01-01   6517.9
1980-04-01   6385.7
1980-07-01   6376.0
1980-10-01   6494.1
1981-01-01   6628.6
1981-04-01   6580.2
1981-07-01   6655.7
1981-10-01   6578.0
1982-01-01   6468.0
1982-04-01   6503.3
1982-07-01   6479.8
1982-10-01   6486.2
1983-01-01   6571.1
1983-04-01   6721.1
1983-07-01   6852.7
1983-10-01   6994.0
1984-01-01   7132.9
1984-04-01   7258.2
1984-07-01   7329.6
1984-10-01   7388.1
1985-01-01   7461.5
1985-04-01   7529.9
1985-07-01   7647.0
1985-10-01   7704.4
1986-01-01   7775.8
1986-04-01   7811.5
1986-07-01   7890.1
1986-10-01   7931.0
1987-01-01   7986.4
1987-04-01   8076.1
1987-07-01   8149.4
1987-10-01   8283.8
1988-01-01   8330.4
1988-04-01   8440.5
1988-07-01   8489.2
1988-10-01   8601.6
1989-01-01   8688.4
1989-04-01   8756.7
1989-07-01   8822.1
1989-10-01   8840.7
1990-01-01   8937.5
1990-04-01   8972.1
1990-07-01   8974.3
1990-10-01   8897.8
1991-01-01   8856.1
1991-04-01   8924.9
1991-07-01   8967.7
1991-10-01   9006.8
1992-01-01   9113.2
1992-04-01   9213.7
1992-07-01   9303.3
1992-10-01   9396.5
1993-01-01   9414.0
1993-04-01   9469.9
1993-07-01   9516.1
1993-10-01   9643.1
1994-01-01   9737.6
1994-04-01   9870.7
1994-07-01   9928.9
1994-10-01  10041.6
1995-01-01  10075.9
1995-04-01  10111.1
1995-07-01  10197.7
1995-10-01  10270.1
1996-01-01  10337.4
1996-04-01  10517.9
1996-07-01  10615.2
1996-10-01  10727.4
1997-01-01  10809.1
1997-04-01  10972.2
1997-07-01  11112.0
1997-10-01  11198.2
1998-01-01  11309.0
1998-04-01  11418.7
1998-07-01  11568.1
1998-10-01  11757.9
1999-01-01  11867.8
1999-04-01  11967.7
1999-07-01  12120.1
1999-10-01  12329.8
2000-01-01  12365.2
2000-04-01  12598.7
2000-07-01  12614.8
2000-10-01  12682.0
2001-01-01  12645.7
2001-04-01  12712.8
2001-07-01  12674.1
2001-10-01  12705.2
2002-01-01  12824.6
2002-04-01  12894.7
2002-07-01  12956.7
2002-10-01  12962.9
2003-01-01  13028.6
2003-04-01  13151.8
2003-07-01  13374.0
2003-10-01  13525.7
2004-01-01  13606.6
2004-04-01  13710.7
2004-07-01  13831.0
2004-10-01  13947.7
2005-01-01  14100.2
2005-04-01  14177.2
2005-07-01  14292.9
2005-10-01  14372.0
2006-01-01  14546.4
2006-04-01  14591.6
2006-07-01  14604.4
2006-10-01  14718.4
2007-01-01  14728.1
2007-04-01  14841.5
2007-07-01  14941.5
2007-10-01  14996.1
2008-01-01  14895.4
2008-04-01  14969.2
2008-07-01  14895.1
2008-10-01  14574.6
2009-01-01  14372.1
2009-04-01  14356.9
2009-07-01  14402.5
2009-10-01  14540.2
2010-01-01  14597.7
2010-04-01  14738.0
2010-07-01  14839.3
2010-10-01  14942.4
2011-01-01  14894.0
2011-04-01  15011.3
2011-07-01  15062.1
2011-10-01  15242.1
2012-01-01  15381.6
2012-04-01  15427.7
2012-07-01  15534.0
2012-10-01  15539.6
2013-01-01  15583.9
2013-04-01  15679.7
