date         m1
1959-01-01   139.7
1959-04-01   141.2
1959-07-01   141.0
1959-10-01   139.9
1960-01-01   139.8
1960-04-01   139.6
1960-07-01   141.2
1960-10-01   140.7
1961-01-01   141.9
1961-04-01   142.9
1961-07-01   143.8
1961-10-01   145.2
1962-01-01   146.0
1962-04-01   146.6
1962-07-01   146.3
1962-10-01   147.8
1963-01-01   149.2
1963-04-01   150.4
1963-07-01   152.0
1963-10-01   153.3
1964-01-01   154.5
1964-04-01   155.6
1964-07-01   158.7
1964-10-01   160.3
1965-01-01   161.5
1965-04-01   162.2
1965-07-01   164.8
1965-10-01   167.8
1966-01-01   170.5
1966-04-01   171.6
1966-07-01   172.0
1966-10-01   172.0
1967-01-01   174.8
1967-04-01   177.0
1967-07-01   180.7
1967-10-01   183.3
1968-01-01   185.5
1968-04-01   189.4
1968-07-01   192.7
1968-10-01   197.4
1969-01-01   200.0
1969-04-01   201.3
1969-07-01   202.1
1969-10-01   203.9
1970-01-01   205.7
1970-04-01   207.6
1970-07-01   211.8
1970-10-01   214.4
1971-01-01   218.8
1971-04-01   223.5
1971-07-01   226.5
1971-10-01   228.3
1972-01-01   234.3
1972-04-01   236.6
1972-07-01   243.2
1972-10-01   249.2
1973-01-01   251.7
1973-04-01   256.7
1973-07-01   257.9
1973-10-01   262.9
1974-01-01   266.7
1974-04-01   268.5
1974-07-01   271.0
1974-10-01   274.2
1975-01-01   276.4
1975-04-01   282.4
1975-07-01   285.7
1975-10-01   287.1
1976-01-01   292.7
1976-04-01   296.2
1976-07-01   299.6
1976-10-01   306.2
1977-01-01   313.9
1977-04-01   318.8
1977-07-01   324.5
1977-10-01   330.9
1978-01-01   337.0
1978-04-01   346.9
1978-07-01   352.2
1978-10-01   357.3
1979-01-01   362.5
1979-04-01   373.4
1979-07-01   379.3
1979-10-01   381.8
1980-01-01   388.4
1980-04-01   389.1
1980-07-01   404.8
1980-10-01   408.5
1981-01-01   419.0
1981-04-01   425.2
1981-07-01   427.0
1981-10-01   436.7
1982-01-01   442.7
1982-04-01   447.5
1982-07-01   456.9
1982-10-01   474.8
1983-01-01   490.6
1983-04-01   504.0
1983-07-01   512.8
1983-10-01   521.4
1984-01-01   531.4
1984-04-01   540.2
1984-07-01   543.1
1984-10-01   551.6
1985-01-01   566.6
1985-04-01   582.3
1985-07-01   603.3
1985-10-01   619.8
1986-01-01   633.5
1986-04-01   660.6
1986-07-01   687.4
1986-10-01   724.7
1987-01-01   733.8
1987-04-01   743.2
1987-07-01   747.6
1987-10-01   750.2
1988-01-01   761.8
1988-04-01   778.3
1988-07-01   783.7
1988-10-01   786.7
1989-01-01   783.0
1989-04-01   773.5
1989-07-01   781.0
1989-10-01   792.9
1990-01-01   801.5
1990-04-01   808.8
1990-07-01   820.2
1990-10-01   824.7
1991-01-01   838.7
1991-04-01   856.7
1991-07-01   869.7
1991-10-01   897.0
1992-01-01   936.7
1992-04-01   954.3
1992-07-01   988.0
1992-10-01  1024.9
1993-01-01  1038.6
1993-04-01  1075.0
1993-07-01  1104.1
1993-10-01  1129.8
1994-01-01  1140.3
1994-04-01  1145.1
1994-07-01  1151.8
1994-10-01  1150.8
1995-01-01  1146.8
1995-04-01  1144.0
1995-07-01  1142.0
1995-10-01  1127.5
1996-01-01  1122.6
1996-04-01  1115.1
1996-07-01  1096.2
1996-10-01  1081.3
1997-01-01  1072.1
1997-04-01  1065.6
1997-07-01  1067.6
1997-10-01  1072.8
1998-01-01  1077.1
1998-04-01  1076.9
1998-07-01  1080.2
1998-10-01  1096.1
1999-01-01  1097.2
1999-04-01  1099.7
1999-07-01  1097.0
1999-10-01  1122.9
2000-01-01  1107.6
2000-04-01  1102.9
2000-07-01  1099.5
2000-10-01  1087.9
2001-01-01  1109.1
2001-04-01  1126.1
2001-07-01  1204.8
2001-10-01  1182.9
2002-01-01  1192.4
2002-04-01  1192.4
2002-07-01  1195.7
2002-10-01  1220.4
2003-01-01  1238.6
2003-04-01  1280.0
2003-07-01  1297.6
2003-10-01  1306.6
2004-01-01  1329.3
2004-04-01  1342.2
2004-07-01  1362.1
2004-10-01  1375.9
2005-01-01  1371.9
2005-04-01  1379.2
2005-07-01  1377.5
2005-10-01  1374.9
2006-01-01  1383.7
2006-04-01  1373.8
2006-07-01  1362.7
2006-10-01  1366.5
2007-01-01  1366.9
2007-04-01  1365.4
2007-07-01  1373.4
2007-10-01  1374.3
2008-01-01  1388.3
2008-04-01  1401.2
2008-07-01  1461.8
2008-10-01  1604.9
2009-01-01  1579.2
2009-04-01  1656.6
2009-07-01  1663.3
2009-10-01  1695.8
2010-01-01  1712.3
2010-04-01  1728.4
2010-07-01  1764.1
2010-10-01  1836.7
2011-01-01  1890.4
2011-04-01  1952.4
2011-07-01  2123.7
2011-10-01  2161.2
2012-01-01  2223.8
2012-04-01  2267.9
2012-07-01  2375.7
2012-10-01  2447.2
2013-01-01  2466.8
2013-04-01  2523.9
2013-07-01  2575.9
