date         wages
1947-01-01   118.9
1947-04-01   121.3
1947-07-01   124.0
1947-10-01   128.3
1948-01-01   131.7
1948-04-01   133.4
1948-07-01   138.1
1948-10-01   139.1
1949-01-01   136.7
1949-04-01   135.0
1949-07-01   134.0
1949-10-01   133.2
1950-01-01   136.9
1950-04-01   143.0
1950-07-01   151.0
1950-10-01   158.1
1951-01-01   165.3
1951-04-01   171.0
1951-07-01   173.5
1951-10-01   176.6
1952-01-01   181.0
1952-04-01   182.1
1952-07-01   186.0
1952-10-01   193.5
1953-01-01   197.1
1953-04-01   200.0
1953-07-01   200.1
1953-10-01   198.7
1954-01-01   196.4
1954-04-01   196.0
1954-07-01   196.3
1954-10-01   200.4
1955-01-01   204.1
1955-04-01   209.9
1955-07-01   215.2
1955-10-01   219.5
1956-01-01   223.3
1956-04-01   227.5
1956-07-01   230.0
1956-10-01   235.4
1957-01-01   238.3
1957-04-01   239.6
1957-07-01   241.8
1957-10-01   240.1
1958-01-01   236.7
1958-04-01   236.3
1958-07-01   243.8
1958-10-01   248.4
1959-01-01   254.0
1959-04-01   260.6
1959-07-01   260.9
1959-10-01   263.9
1960-01-01   270.7
1960-04-01   273.4
1960-07-01   274.0
1960-10-01   273.3
1961-01-01   273.8
1961-04-01   277.6
1961-07-01   282.3
1961-10-01   288.4
1962-01-01   293.3
1962-04-01   298.7
1962-07-01   301.2
1962-10-01   304.2
1963-01-01   308.0
1963-04-01   312.4
1963-07-01   316.8
1963-10-01   322.2
1964-01-01   328.2
1964-04-01   334.8
1964-07-01   341.4
1964-10-01   346.7
1965-01-01   352.8
1965-04-01   358.9
1965-07-01   366.2
1965-10-01   377.1
1966-01-01   385.8
1966-04-01   395.9
1966-07-01   406.1
1966-10-01   413.5
1967-01-01   418.8
1967-04-01   423.6
1967-07-01   432.0
1967-10-01   441.6
1968-01-01   454.2
1968-04-01   465.9
1968-07-01   478.3
1968-10-01   489.4
1969-01-01   499.1
1969-04-01   511.4
1969-07-01   526.4
1969-10-01   536.5
1970-01-01   545.1
1970-04-01   549.1
1970-07-01   555.7
1970-10-01   556.4
1971-01-01   570.5
1971-04-01   580.4
1971-07-01   588.8
1971-10-01   598.4
1972-01-01   618.5
1972-04-01   630.4
1972-07-01   642.3
1972-10-01   664.0
1973-01-01   683.4
1973-04-01   700.2
1973-07-01   716.2
1973-10-01   735.3
1974-01-01   748.2
1974-04-01   765.3
1974-07-01   783.1
1974-10-01   792.5
1975-01-01   791.9
1975-04-01   800.4
1975-07-01   821.3
1975-10-01   845.8
1976-01-01   871.2
1976-04-01   889.4
1976-07-01   908.5
1976-10-01   929.9
1977-01-01   950.0
1977-04-01   980.9
1977-07-01  1007.5
1977-10-01  1038.2
1978-01-01  1064.2
1978-04-01  1106.0
1978-07-01  1137.1
1978-10-01  1175.0
1979-01-01  1208.4
1979-04-01  1234.0
1979-07-01  1268.2
1979-10-01  1302.7
1980-01-01  1334.9
1980-04-01  1351.0
1980-07-01  1376.1
1980-10-01  1431.7
1981-01-01  1469.1
1981-04-01  1496.2
1981-07-01  1528.7
1981-10-01  1551.5
1982-01-01  1567.2
1982-04-01  1580.9
1982-07-01  1596.1
1982-10-01  1605.9
1983-01-01  1623.1
1983-04-01  1655.1
1983-07-01  1691.8
1983-10-01  1740.1
1984-01-01  1785.2
1984-04-01  1828.2
1984-07-01  1866.7
1984-10-01  1899.5
1985-01-01  1933.8
1985-04-01  1963.2
1985-07-01  1996.1
1985-10-01  2037.1
1986-01-01  2063.5
1986-04-01  2081.8
1986-07-01  2111.7
1986-10-01  2152.2
1987-01-01  2193.7
1987-04-01  2230.1
1987-07-01  2270.6
1987-10-01  2330.7
1988-01-01  2367.3
1988-04-01  2422.1
1988-07-01  2463.0
1988-10-01  2506.8
1989-01-01  2542.2
1989-04-01  2563.4
1989-07-01  2592.0
1989-10-01  2634.6
1990-01-01  2686.8
1990-04-01  2735.9
1990-07-01  2768.7
1990-10-01  2773.4
1991-01-01  2776.0
1991-04-01  2801.2
1991-07-01  2826.5
1991-10-01  2854.2
1992-01-01  2913.5
1992-04-01  2952.8
1992-07-01  2976.1
1992-10-01  3019.9
1993-01-01  3018.5
1993-04-01  3065.5
1993-07-01  3093.3
1993-10-01  3140.1
1994-01-01  3152.8
1994-04-01  3224.6
1994-07-01  3258.0
1994-10-01  3310.9
1995-01-01  3360.6
1995-04-01  3395.3
1995-07-01  3438.2
1995-10-01  3478.0
1996-01-01  3525.9
1996-04-01  3590.6
1996-07-01  3646.7
1996-10-01  3702.7
1997-01-01  3777.3
1997-04-01  3835.5
1997-07-01  3903.7
1997-10-01  3990.9
1998-01-01  4076.3
1998-04-01  4146.2
1998-07-01  4216.8
1998-10-01  4287.1
1999-01-01  4368.9
1999-04-01  4410.7
1999-07-01  4472.0
1999-10-01  4580.3
2000-01-01  4752.9
2000-04-01  4780.1
2000-07-01  4872.6
2000-10-01  4897.8
2001-01-01  4982.8
2001-04-01  4963.8
2001-07-01  4936.6
2001-10-01  4934.6
2002-01-01  4952.5
2002-04-01  5000.7
2002-07-01  5010.9
2002-10-01  5021.5
2003-01-01  5031.9
2003-04-01  5102.9
2003-07-01  5167.8
2003-10-01  5252.5
2004-01-01  5282.3
2004-04-01  5384.6
2004-07-01  5493.1
2004-10-01  5531.6
2005-01-01  5580.9
2005-04-01  5640.7
2005-07-01  5738.2
2005-10-01  5811.9
2006-01-01  5977.0
2006-04-01  6016.1
2006-07-01  6061.7
2006-10-01  6178.1
2007-01-01  6348.8
2007-04-01  6372.0
2007-07-01  6394.6
2007-10-01  6468.7
2008-01-01  6540.5
2008-04-01  6532.4
2008-07-01  6544.7
2008-10-01  6513.7
2009-01-01  6231.3
2009-04-01  6257.0
2009-07-01  6239.8
2009-10-01  6280.8
2010-01-01  6239.6
2010-04-01  6365.5
2010-07-01  6426.4
2010-10-01  6478.6
2011-01-01  6577.6
2011-04-01  6621.0
2011-07-01  6698.0
2011-10-01  6658.2
2012-01-01  6842.2
2012-04-01  6873.5
2012-07-01  6904.7
2012-10-01  7086.6
2013-01-01  7040.4
2013-04-01  7095.0
